34928	35048	35167	35286	35405	35524	35644	35763	35882	36001	36120	36240	36359	36478	36597	36716	36836	36955	37074	37193	37313	37432	37551	37670	37789	37909	38028	38147	38266	38385	38505	38624	38743	38862	38981	39101	39220	39339	39458	39577	39697	39816	39935	40054	40174	40293	40412	40531	40650	40770	40889	41008	41127	41246	41366	41485	41604	41723	41842	41962	42081	42200	42319	42439	42558	42677	42796	42915	43035	43154	43273	43392	43511	43631	43750	43869	43988	44107	44227	44346	44465	44584	44703	44823	44942
64	170	1	2	119	0	1953125	12	0.0	0	0.37	0	0	V0.2	0	0	3	1	4	8	11	13	15	16	16	15	14	12	8	4	0	4	9	15	19	23	27	29	31	33	33	31	32	33	29	25	26	36	49	74	88	127	170	197	240	294	304	321	387	411	397	455	493	529	603	726	800	841	974	1000	958	945	855	684	570	466	360	277	247	212	179	164	148	125	109	102	88	74	64	54	41	31	21	10	4	7	13	19	22	25	26
64	170	1	2	119	0	1953125	12	0.0	0	0.37	0	0	V0.2	0	0	1	1	5	8	11	13	15	16	15	15	14	10	7	4	0	5	11	16	20	25	28	31	33	34	34	32	34	35	30	26	28	36	48	73	86	125	169	198	241	294	305	326	391	415	399	452	488	524	596	718	796	837	977	1000	962	957	864	685	572	465	357	272	240	210	179	164	150	128	113	105	92	78	69	58	44	34	22	11	2	6	14	20	24	27	28
64	170	1	2	119	0	1953125	12	0.0	0	0.37	0	0	V0.2	0	0	4	1	2	6	9	12	15	15	16	17	15	14	10	6	1	2	8	13	18	23	26	30	32	35	35	33	35	36	33	29	30	38	49	71	82	121	165	194	238	293	306	329	399	420	403	456	489	522	591	714	782	823	974	1000	962	967	876	693	580	472	355	265	232	201	170	155	145	125	110	104	91	77	69	59	45	36	25	15	4	3	11	18	21	25	25
64	170	1	2	119	0	1953125	12	0.0	0	0.37	0	0	V0.2	0	0	3	0	4	7	11	13	16	16	17	16	14	12	8	5	0	4	10	15	20	25	29	32	34	35	35	33	35	36	32	27	28	36	49	72	84	124	167	196	239	293	306	329	396	419	402	458	493	526	599	719	788	835	977	1000	965	967	873	692	581	474	359	273	241	207	176	161	148	127	112	104	91	78	68	58	44	34	23	11	3	6	13	19	23	25	27
64	170	1	2	119	0	1953125	12	0.0	0	0.37	0	0	V0.2	0	0	3	1	4	7	10	13	14	16	16	16	14	12	9	6	1	3	9	14	18	22	26	29	32	33	33	32	35	36	32	28	30	37	47	70	80	118	164	194	237	293	307	329	399	419	399	451	479	512	584	706	778	829	975	999	966	966	873	687	571	462	343	255	226	198	167	154	145	124	110	104	91	77	69	61	47	38	26	15	6	1	10	16	20	24	26
64	170	1	2	119	0	1953125	12	0.0	0	0.37	0	0	V0.2	0	0	2	0	2	6	9	12	14	15	16	16	14	12	9	5	1	3	8	13	17	22	26	29	32	33	34	33	34	36	33	29	31	39	51	72	84	124	167	194	238	293	306	329	397	419	407	467	501	533	602	727	798	841	979	999	963	963	873	698	587	484	369	283	248	212	178	162	149	125	110	103	88	73	65	54	41	31	22	12	4	7	14	19	23	25	25
64	170	1	2	119	0	1953125	12	0.0	0	0.37	0	0	V0.2	0	0	2	1	3	7	11	13	14	17	16	16	15	12	9	5	0	5	8	14	18	23	27	29	32	34	34	32	34	35	31	27	30	39	51	75	88	127	170	198	240	294	305	327	394	419	407	462	496	533	606	725	797	838	979	1000	964	967	870	691	583	479	365	278	245	209	177	160	149	124	110	103	88	75	67	57	43	33	22	11	4	6	13	18	22	25	26
64	170	1	2	119	0	1953125	12	0.0	0	0.37	0	0	V0.2	0	0	3	0	3	7	10	12	15	16	17	17	16	14	11	6	2	4	9	15	20	25	29	32	34	36	36	34	35	37	33	28	28	38	49	72	85	124	168	197	238	294	307	328	398	421	403	460	495	528	600	721	790	836	978	1000	963	964	872	690	579	475	360	275	244	210	177	162	149	125	112	105	91	75	67	57	43	32	22	11	3	8	14	20	23	25	26
64	170	1	2	119	0	1953125	12	0.0	0	0.37	0	0	V0.2	0	0	4	0	2	6	10	13	14	16	16	16	15	12	10	5	1	3	9	13	18	23	26	30	32	35	34	33	35	36	32	29	29	38	50	74	86	124	168	197	240	295	309	330	398	422	406	461	491	526	598	716	791	839	976	1000	970	967	873	695	581	473	359	270	239	206	173	159	147	126	111	106	90	77	69	57	45	35	24	13	4	4	12	17	22	25	26
64	170	1	2	119	0	1953125	12	0.0	0	0.37	0	0	V0.2	0	0	3	1	2	6	9	13	15	17	17	17	15	13	10	7	1	4	9	15	19	24	27	31	34	36	36	35	36	37	33	28	29	37	49	73	87	126	170	199	244	298	311	330	399	421	404	457	493	529	603	720	796	845	981	999	966	962	868	691	577	468	359	275	243	212	180	164	154	127	113	107	91	77	67	56	43	32	21	10	3	8	16	21	25	27	28
